,author,co-author,year,attribute
145,BENNETT RD,COMPTON AH,1932,collaborate
146,STEARNS JC,COMPTON AH,1932,collaborate
147,COMPTON AH,BENNETT RD,1932,collaborate
148,COMPTON AH,STEARNS JC,1932,collaborate
149,BENNETT RD,STEARNS JC,1932,collaborate
150,BENNETT RD,STEARNS JC,1931,collaborate
151,BENNETT RD,COMPTON AH,1931,collaborate
152,STEARNS JC,COMPTON AH,1931,collaborate
153,COMPTON AH,BENNETT RD,1931,collaborate
154,COMPTON AH,STEARNS JC,1931,collaborate
155,BENNETT RD,STEARNS JC,1931,collaborate
156,JAUNCEY GEM,COMPTON AH,1927,collaborate
157,COMPTON AH,DOAN RL,1925,collaborate
158,COMPTON AH,SIMON AW,1925,collaborate
159,COMPTON AH,BEETS HN,1925,collaborate
160,COMPTON AH,DEFOE OK,1925,collaborate
161,BEETS HN,DEFOE OK,1925,collaborate
162,DEFOE OK,COMPTON AH,1925,collaborate
163,COMPTON AH,SIMON AW,1925,collaborate
164,COMPTON AH,HAGENOW CF,1924,collaborate
165,COMPTON AH,HUBBARD JC,1924,collaborate
166,COMPTON AH,FREEMAN NL,1922,collaborate
167,PEGRAM GB,COMPTON AH,1933,collaborate
168,PEGRAM GB,DAVIS B,1933,collaborate
169,PEGRAM GB,SINCLAIR D,1933,collaborate
170,PEGRAM GB,BROWN WF,1933,collaborate
171,COMPTON AH,DAVIS B,1933,collaborate
172,COMPTON AH,SINCLAIR D,1933,collaborate
173,COMPTON AH,BROWN WF,1933,collaborate
174,DAVIS B,SINCLAIR D,1933,collaborate
175,DAVIS B,BROWN WF,1933,collaborate
176,SINCLAIR D,BROWN WF,1933,collaborate
177,JAUNCEY GEM,COMPTON AH,1927,collaborate
178,COMPTON AH,FREEMAN NL,1922,collaborate
179,DEBYE P,PAULING L,1925,collaborate
180,DEBYE P,SEARS FW,1932,collaborate
181,DEBYE P,MANNEBACK C,1927,collaborate
182,TOLMAN RC,EHRENFEST P,1931,collaborate
183,TOLMAN RC,PODOLSKY B,1931,collaborate
184,EHRENFEST P,PODOLSKY B,1931,collaborate
185,EHRENFEST P,OPPENHEIMER JR,1931,collaborate
186,EHRENFEST P,EPSTEIN PS,1927,collaborate
187,EHRENFEST P,UHLENBECK GE,1927,collaborate
188,EHRENFEST P,UHLENBECK GE,1927,collaborate
189,EHRENFEST P,UHLENBECK GE,1926,collaborate
190,EPSTEIN PS,EHRENFEST P,1924,collaborate
191,EINSTEIN A,EHRENFEST P,1923,collaborate
192,EINSTEIN A,EHRENFEST P,1922,collaborate
193,COSTER D,EHRENFEST P,1924,collaborate
194,COSTER D,BALDUS K,1924,collaborate
